ima_id	cube_start	vX0	vY0	vZ0	vo	vp	vk
K00126DC	 527,8990 	 0,750187547 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00127DC	 531,8980 	 0,750187547 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00128DC	 536,1060 	 1,425855513 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00129DC	 540,1050 	 0,750187547 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00130DC	 544,2990 	 1,430615165 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00131DC	 548,3000 	 1,499625094 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00132DC	 552,4990 	 0,952607764 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00133DC	 556,5020 	 1,249063203 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00134DC	 560,7000 	 1,191043354 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00135DC	 564,7000 	 1,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00136DC	 568,9020 	 1,189909567 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00137DC	 572,9030 	 1,249687578 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00138DC	 577,1080 	 1,426872771 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00139DC	 581,3020 	 1,192179304 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00140DC	 585,3030 	 0,999750062 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00141DC	 589,5020 	 1,190759705 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00142DC	 593,5030 	 1,249687578 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00143DC	 597,7040 	 -0,714115687 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00144DC	 601,7030 	 -3,250812703 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00145DC	 605,9040 	 -2,618424185 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00146DC	 609,8990 	 -1,752190238 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00147DC	 614,1070 	 -1,425855513 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00148DC	 618,1010 	 -1,502253380 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00149DC	 622,3050 	 -1,189343482 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00150DC	 626,3020 	 -1,501125844 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00151DC	 630,5020 	 1,428571429 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00152DC	 634,5000 	 3,251625813 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00153DC	 638,7060 	 3,328578222 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00154DC	 642,7050 	 4,001000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00155DC	 646,9040 	 4,048582996 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00156DC	 650,9040 	 4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00157DC	 655,1060 	 4,045692527 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00158DC	 659,1010 	 4,005006258 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00159DC	 663,2990 	 4,049547404 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00160DC	 667,4950 	 3,813155386 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00161DC	 671,4950 	 4,250000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00162DC	 675,6970 	 3,807710614 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00163DC	 679,7050 	 4,241516966 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00164DC	 683,8970 	 3,816793893 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00165DC	 687,8960 	 4,001000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00166DC	 692,0990 	 3,806804663 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00167DC	 696,1010 	 3,998001000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00168DC	 700,3030 	 3,807710614 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00169DC	 704,2970 	 4,256384577 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00170DC	 708,4980 	 3,808616996 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00171DC	 712,5050 	 3,993012229 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00172DC	 716,6990 	 3,814973772 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00173DC	 720,6990 	 4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00174DC	 724,8980 	 4,048582996 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00175DC	 728,8990 	 3,999000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00176DC	 733,1020 	 3,568879372 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00177DC	 737,1010 	 4,251062766 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00178DC	 741,2990 	 3,811338733 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00179DC	 745,2990 	 4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00180DC	 749,4990 	 3,809523810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00181DC	 753,5020 	 3,747189608 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00182DC	 757,6990 	 3,812246843 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00183DC	 761,9000 	 3,808616996 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00184DC	 765,9000 	 4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00185DC	 770,1070 	 3,803185168 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00186DC	 774,1070 	 4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00187DC	 778,3010 	 3,814973772 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00188DC	 782,3010 	 4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00189DC	 786,5040 	 4,044729955 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00190DC	 790,4980 	 4,006009014 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00191DC	 794,6970 	 3,572279114 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00192DC	 798,6990 	 4,247876062 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00193DC	 802,9000 	 3,808616996 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00194DC	 806,8980 	 4,002001001 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00195DC	 811,1040 	 3,804089396 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00196DC	 815,1020 	 4,252126063 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00197DC	 819,2980 	 3,813155386 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00198DC	 823,2990 	 4,248937766 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00199DC	 827,4990 	 3,809523810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00200DC	 831,4990 	 4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00201DC	 835,7000 	 3,808616996 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00202DC	 839,7000 	 4,250000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00203DC	 843,9000 	 3,809523810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00204DC	 847,9000 	 4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00205DC	 852,1050 	 3,804994055 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00206DC	 856,1110 	 3,994008987 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00207DC	 860,3050 	 3,576537911 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00208DC	 864,5040 	 4,048582996 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00209DC	 868,5070 	 3,997002248 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00210DC	 872,7070 	 3,809523810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00211DC	 876,7050 	 4,002001001 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00212DC	 880,9080 	 3,806804663 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00213DC	 884,9060 	 4,002001001 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00214DC	 889,1060 	 3,809523810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00215DC	 893,1160 	 3,990024938 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00216DC	 897,3050 	 4,058247792 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00217DC	 901,3000 	 4,005006258 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00218DC	 905,7000 	 3,863636364 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00219DC	 909,5010 	 3,946329913 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00220DC	 913,7000 	 3,810431055 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00221DC	 917,7070 	 4,242575493 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00222DC	 921,9000 	 3,577390890 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00223DC	 925,9070 	 4,242575493 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00224DC	 930,1150 	 3,802281369 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00225DC	 934,1160 	 3,999000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00226DC	 938,3000 	 3,824091778 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00227DC	 942,3060 	 3,994008987 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00228DC	 946,5050 	 3,810431055 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00229DC	 950,5020 	 4,003002252 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00230DC	 954,7020 	 3,809523810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00231DC	 958,9020 	 3,571428571 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00232DC	 962,9020 	 4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00233DC	 967,1070 	 4,042806183 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00234DC	 971,1070 	 3,750000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00235DC	 975,3010 	 4,053409633 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00236DC	 979,3060 	 3,745318352 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00237DC	 983,5010 	 3,814064362 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00238DC	 987,5020 	 3,999000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00239DC	 991,7020 	 3,809523810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00240DC	 995,7030 	 3,999000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00241DC	 999,9020 	 3,810431055 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00242DC	 1003,9060 	 3,996003996 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00243DC	 1008,1150 	 3,801378000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00244DC	 1012,1160 	 3,999000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00245DC	 1016,3080 	 3,816793893 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00246DC	 1020,3060 	 4,002001001 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00247DC	 1024,5080 	 3,807710614 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00248DC	 1028,5020 	 4,256384577 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00249DC	 1032,7030 	 3,808616996 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00250DC	 1036,7080 	 3,995006242 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00251DC	 1040,9080 	 3,809523810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00252DC	 1044,9040 	 4,004004004 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00253DC	 1049,1120 	 2,851711027 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00256DC	 1061,5080 	 -1,371410132 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00257DC	 1065,5080 	 -3,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00258DC	 1069,7090 	 -3,332539871 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00259DC	 1073,7100 	 -3,749062734 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00260DC	 1077,9070 	 -3,573981415 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00261DC	 1081,9080 	 -3,999000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00262DC	 1086,1190 	 -3,562099264 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00263DC	 1090,1200 	 -3,999000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00264DC	 1094,3080 	 -3,820439351 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00265DC	 1098,3080 	 -3,750000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00266DC	 1102,5090 	 -3,808616996 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00267DC	 1106,5080 	 -3,750937734 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00268DC	 1110,7080 	 -3,809523810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00269DC	 1114,7090 	 -3,999000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00270DC	 1118,9090 	 -3,571428571 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00271DC	 1122,9090 	 -4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00272DC	 1127,1180 	 -3,563791875 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00273DC	 1131,1170 	 -4,001000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00274DC	 1135,3090 	 -3,816793893 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00275DC	 1139,3080 	 -4,001000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00276DC	 1143,5080 	 -3,809523810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00277DC	 1147,5080 	 -4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00278DC	 1151,7090 	 -3,808616996 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00279DC	 1155,9080 	 -3,810431055 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00280DC	 1159,9080 	 -4,250000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00281DC	 1164,1200 	 -3,561253561 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00282DC	 1168,1210 	 -3,999000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00283DC	 1172,3080 	 -4,060186291 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00284DC	 1176,3070 	 -3,750937734 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00285DC	 1180,5080 	 -3,808616996 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00286DC	 1184,5070 	 -4,251062766 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00287DC	 1188,7090 	 -3,807710614 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00288DC	 1192,7090 	 -4,250000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00289DC	 1196,9090 	 -3,809523810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00290DC	 1200,9120 	 -4,246814889 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00291DC	 1205,1210 	 -3,801378000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00292DC	 1209,1210 	 -4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00293DC	 1213,3070 	 -3,583373149 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00294DC	 1217,3070 	 -4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00295DC	 1221,5090 	 -3,807710614 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00296DC	 1225,5070 	 -4,002001001 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00297DC	 1229,7090 	 -3,807710614 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00298DC	 1233,7080 	 -4,001000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00299DC	 1237,9080 	 -3,809523810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00300DC	 1241,9060 	 -4,002001001 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00301DC	 1246,1210 	 -3,795966785 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00302DC	 1250,3090 	 -4,059216810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00303DC	 1254,3070 	 -4,002001001 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00304DC	 1258,5070 	 -4,047619048 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00305DC	 1262,5080 	 -3,999000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00306DC	 1266,7080 	 -3,809523810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00307DC	 1270,7100 	 -3,998001000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00308DC	 1274,9100 	 -4,047619048 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00309DC	 1278,9070 	 -4,253189892 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00310DC	 1283,1240 	 -3,794166469 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00311DC	 1287,1240 	 -4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00312DC	 1291,3100 	 -3,822264692 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00313DC	 1295,3080 	 -4,002001001 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00314DC	 1299,5080 	 -4,047619048 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00315DC	 1303,5080 	 -4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00316DC	 1307,7080 	 -4,047619048 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00317DC	 1311,7090 	 -3,999000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00318DC	 1315,9090 	 -3,809523810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00319DC	 1319,9080 	 -4,001000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00320DC	 1324,1230 	 -3,795966785 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00321DC	 1328,1250 	 -3,998001000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00322DC	 1332,3080 	 -3,825005977 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00323DC	 1336,3120 	 -3,996003996 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00324DC	 1340,5110 	 -3,810431055 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00325DC	 1344,7100 	 -3,810431055 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00326DC	 1348,7110 	 -3,999000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00327DC	 1352,9100 	 -4,048582996 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00328DC	 1356,9090 	 -4,001000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00329DC	 1361,1250 	 -3,795066414 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00330DC	 1365,1240 	 -4,251062766 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00331DC	 1369,3100 	 -3,822264692 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00332DC	 1373,3090 	 -4,251062766 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00333DC	 1377,5100 	 -4,046655558 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00334DC	 1381,5100 	 -4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00335DC	 1385,7110 	 -4,046655558 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00336DC	 1389,7070 	 -4,004004004 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00337DC	 1393,9090 	 -3,807710614 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00338DC	 1397,9100 	 -3,999000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
