id	band	time	status	X0	Y0	Z0	omega	phi	kappa
K00126DC	3	 527,978000	adjusted	342070,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00127DC	3	 531,977000	adjusted	342073,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00128DC	3	 536,185000	adjusted	342079,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00129DC	3	 540,184000	adjusted	342082,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00130DC	3	 544,378000	adjusted	342088,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00131DC	3	 548,379000	adjusted	342094,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00132DC	3	 552,578000	adjusted	342098,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00133DC	3	 556,581000	adjusted	342103,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00134DC	3	 560,779000	adjusted	342108,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00135DC	3	 564,779000	adjusted	342112,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00136DC	3	 568,981000	adjusted	342117,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00137DC	3	 572,982000	adjusted	342122,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00138DC	3	 577,187000	adjusted	342128,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00139DC	3	 581,381000	adjusted	342133,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00140DC	3	 585,382000	adjusted	342137,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00141DC	3	 589,581000	adjusted	342142,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00142DC	3	 593,582000	adjusted	342147,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00143DC	3	 597,783000	adjusted	342144,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00144DC	3	 601,782000	adjusted	342131,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00145DC	3	 605,983000	adjusted	342120,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00146DC	3	 609,978000	adjusted	342113,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00147DC	3	 614,186000	adjusted	342107,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
