ima_id	band	rel_a	rel_b	sd_rela	sd_relb	sd_dn	sunzen	sunaz
rad 1 0
K00126DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00127DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00128DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00129DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00130DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00131DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00132DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00133DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00134DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00135DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00136DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00137DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00138DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00139DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00140DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00141DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00142DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00143DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00144DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00145DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00146DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00147DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00148DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00149DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00150DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00151DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00152DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00153DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00154DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00155DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00156DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00157DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00158DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00159DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00160DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00161DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00162DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00163DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00164DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00165DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00166DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00167DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00168DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00169DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00170DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00171DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00172DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00173DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00174DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00175DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00176DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00177DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00178DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00179DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00180DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00181DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00182DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00183DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00184DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00185DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00186DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00187DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00188DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
