ima_id	cube_start	vX0	vY0	vZ0	vo	vp	vk
K00097DC	 517.1660 	 0.000000000 	 -0.026394721 	 0.106178764 	 0.120775845 	 0.093981204 	 0.000000000
K00098DC	 522.1670 	 0.000000000 	 -0.026394721 	 0.106178764 	 0.120775845 	 0.093981204 	 0.000000000
K00099DC	 527.1620 	 -0.000200200 	 0.173173173 	 -0.011811812 	 -0.102902903 	 -0.138138138 	 0.000000000
K00100DC	 532.1620 	 0.000000000 	 -0.021400000 	 -0.078800000 	 0.042200000 	 0.062000000 	 0.000000000
K00102DC	 542.1620 	 0.000000000 	 -0.032200000 	 0.015300000 	 -0.036200000 	 0.057000000 	 0.000000000
K00103DC	 547.1640 	 0.000000000 	 -0.028388645 	 -0.054178329 	 0.020391843 	 -0.009996002 	 0.000000000
K00104DC	 552.1620 	 0.000000000 	 -0.027210884 	 0.080032013 	 0.015606242 	 -0.104041617 	 0.000000000
K00105DC	 557.1640 	 0.000000000 	 -0.028588565 	 -0.067173131 	 -0.017193123 	 0.019992003 	 0.000000000
K00106DC	 562.1630 	 -0.000200040 	 0.171634327 	 0.029805961 	 -0.000400080 	 0.042008402 	 0.000000000
K00107DC	 567.1640 	 0.000000000 	 -0.028394321 	 -0.061187762 	 -0.065586883 	 0.043991202 	 0.000000000
K00108DC	 572.1650 	 0.000000000 	 -0.027994401 	 0.047790442 	 0.104579084 	 0.005998800 	 0.000000000
K00109DC	 577.1640 	 0.000000000 	 -0.029605921 	 0.086017203 	 -0.043408682 	 -0.048009602 	 0.000000000
K00110DC	 582.1510 	 0.000000000 	 -0.027872468 	 -0.136956086 	 -0.054942851 	 -0.052135552 	 0.000000000
K00111DC	 587.1720 	 0.000000000 	 -0.002788289 	 0.092212707 	 0.056761601 	 0.055765784 	 0.000000000
K00112DC	 592.1710 	 0.000000000 	 0.025805161 	 0.011202240 	 0.032806561 	 -0.064012803 	 0.000000000
K00113DC	 597.1710 	 0.000000000 	 0.035800000 	 0.034600000 	 0.058800000 	 0.038000000 	 0.000000000
K00114DC	 602.1710 	 0.000000000 	 0.034600000 	 -0.107600000 	 -0.078600000 	 -0.054000000 	 0.000000000
K00115DC	 607.1690 	 0.000200080 	 -0.165666267 	 0.086434574 	 0.033613445 	 0.052020808 	 0.000000000
K00116DC	 612.1690 	 0.000000000 	 0.035200000 	 -0.060600000 	 0.028000000 	 0.006000000 	 0.000000000
K00117DC	 617.1690 	 0.000000000 	 0.034000000 	 -0.082200000 	 -0.150000000 	 -0.106000000 	 0.000000000
K00118DC	 622.1720 	 0.000000000 	 0.032780332 	 0.141515091 	 0.062362582 	 0.000000000 	 0.000000000
K00119DC	 627.1720 	 0.000000000 	 0.033600000 	 -0.088200000 	 0.094000000 	 0.092000000 	 0.000000000
K00120DC	 632.1720 	 0.000000000 	 0.034800000 	 0.022600000 	 -0.158800000 	 -0.034000000 	 0.000000000
K00121DC	 637.1720 	 0.000200000 	 -0.168600000 	 0.088600000 	 0.078200000 	 0.042000000 	 0.000000000
