ima_id	cube_start	vX0	vY0	vZ0	vo	vp	vk
K00097DC	517.257	-2.634637185	0.758752525	1.091635906	-0.298267781	-0.465364024	-0.032966725
K00098DC	522.247	-2.634637185	0.758752525	1.091635906	-0.298267781	-0.465364024	-0.032966725
K00099DC	527.247	-2.701190294	1.12245962	1.448757775	0.127756921	-0.157121565	0.042565181
K00100DC	532.247	-2.147875774	0.83816433	1.611515605	0.253831491	0.986007975	0.138324873
K00102DC	542.257	-3.215258356	1.318430326	1.477394761	-0.3057058	-0.327865277	-0.054999793
K00103DC	547.247	-2.851120201	1.097641729	1.197527219	-0.019966169	-0.067731157	0.084522995
K00104DC	552.247	-2.71199845	1.147246396	1.438219152	0.16765001	0.069851683	0.082584463
K00105DC	557.247	-2.866721718	1.239845336	1.500403437	0.293774269	0.082205121	0.052056448
K00106DC	562.247	-2.837020036	1.05272354	1.429855468	-0.187314686	0.066596521	0.038061936
K00107DC	567.247	-2.846126556	1.323831038	1.362923167	-0.175190549	-0.226488928	-0.110378928
K00108DC	572.247	-2.795209539	1.151575104	1.324330673	-0.146170341	0.004130145	0.04847484
K00109DC	577.257	-2.945513318	1.226664186	1.448079478	0.268321945	-0.092395016	0.090223494
K00110DC	582.247	-2.799264013	1.123569391	1.373001707	-0.033945819	0.977274673	4.394649519
K00111DC	587.247	-0.270734294	0.182566572	0.16934049	0.257399699	0.091669467	-41.10019655
K00112DC	592.247	2.581123274	-1.064937564	0.268889735	0.262652586	-0.135974119	0.007965229
K00113DC	597.247	3.583465884	-1.712309896	0.154822895	-0.199605187	-0.163145999	-0.026919252
K00114DC	602.247	3.449232135	-1.834518748	0.094695657	0.137637312	-0.107242781	0.014825285
K00115DC	607.247	3.448643365	-1.593539614	0.002604505	-0.107368829	0.166518831	-0.074914682
K00116DC	612.257	3.506928943	-1.792047862	0.012897063	0.197677669	-0.161721909	0.044926577
K00117DC	617.247	3.398562114	-1.675899531	0.060732625	-0.220961622	0.047886389	-0.072734194
K00118DC	622.247	3.29416624	-1.59635272	-0.129138528	0.093439959	-0.057300494	0.034164685
K00119DC	627.247	3.351189409	-1.578776916	0.045046048	-0.126261565	0.047258066	-0.018335001
K00120DC	632.247	3.482244117	-1.722658768	-0.031990383	0.13049894	0.064469285	-0.031611993
K00121DC	637.247	3.148867824	-1.518620294	0.031014012	-0.049368408	-0.145074055	0.017132835
K00122DC	642.247	3.322593305	-1.688997906	0.051846921	-0.074767545	0.119534336	0.011526631
K00123DC	647.267	3.498436362	-1.407960135	0.039454245	-0.159290383	0.042336619	0.022200163
K00124DC	652.257	3.295784845	-1.442065166	0.024696368	0.112912662	0.095896524	0.015532583
K00125DC	657.257	3.470876468	-1.650051286	0.039957684	0.037478595	0.015462027	-0.031166742
K00126DC	662.257	3.507910093	-1.767519196	-0.033441766	0.088799721	-0.128924548	0.007593255
K00127DC	667.257	3.27936224	-1.663782032	-0.061457935	0.00507073	-0.003882599	-0.051283881
K00128DC	672.257	2.553254391	-0.923437912	0.052658195	-1.635987116	-0.19881211	18.46578024
K00129DC	677.257	1.407991613	2.675166736	0.0140841	0.818029747	0.427355373	-0.228116976
K00130DC	682.27	1.262908523	3.277169783	-0.047633243	1.144587659	-1.767262624	15.39884726
K00131DC	687.267	-1.762217114	1.632562065	-0.074016868	-0.508603664	0.456886348	2.547631322
K00132DC	692.267	-3.185955868	1.555339236	0.002359858	-0.218409863	0.611152517	-0.023575878
K00133DC	697.267	-3.302433523	1.616636286	-0.024442881	0.110499891	-0.084047988	-0.022502181
K00134DC	702.267	-3.374464597	1.427026462	-0.032945163	0.100016485	-0.078328084	0.011283466
K00135DC	707.267	-3.587813369	1.439864882	0.090026331	0.085265158	-0.04124233	-0.004247005
K00136DC	712.267	-3.193990617	1.892632246	-0.039070052	-0.082408181	0.227759277	-0.038015761
K00137DC	717.277	-3.247602035	1.601531521	-0.015350309	-0.182448023	-0.022452476	-0.086802829
K00138DC	722.267	-2.788958553	1.577237397	-0.039936542	0.207628067	0.150198078	2.23751E-05
K00139DC	727.267	-3.416708069	1.701267896	0.022298787	0.04047825	0.289780569	0.010151513
K00140DC	732.267	-3.416844289	1.661496514	-0.020193149	-0.015500767	-0.226721804	-0.133093853
K00141DC	737.267	-3.158762161	1.62605194	-0.217789962	0.068743922	-0.329405511	0.062587211
K00142DC	742.267	-3.28436426	1.608792746	0.063920324	-0.009944754	0.022111755	0.022265107
K00143DC	747.267	-3.383789248	1.41762301	0.013966517	-0.526610994	0.29018311	-0.082900611
K00144DC	752.267	-3.188091707	1.747249828	0.086156982	0.640366864	-0.191183598	0.055120877
K00145DC	757.277	-3.398881976	1.547179864	0.00725798	-0.321636696	-0.146203537	0.011648764
