id	band	time	status	X0	Y0	X0	omega	phi	kappa
K00097DC	1	517.257	adjusted	457919.2423	7553595.777	491.72468	-1.384012762	-2.715398904	68.83193594
K00098DC	1	522.247	adjusted	457906.0955	7553599.563	497.1719432	-2.87236899	-5.037565382	68.66743198
K00099DC	1	527.247	adjusted	457892.5895	7553605.175	504.415732	-2.233584385	-5.823173204	68.88025789
K00100DC	1	532.247	adjusted	457881.8502	7553609.366	512.4733101	-0.96442693	-0.893133327	69.57188226
K00102DC	1	542.257	adjusted	457849.6654	7553622.563	527.2620316	-4.024541986	-4.175064751	69.02133433
K00103DC	1	547.247	adjusted	457835.4383	7553628.041	533.2376924	-4.124173171	-4.513043224	69.44310407
K00104DC	1	552.247	adjusted	457821.8784	7553633.777	540.4287882	-3.285923122	-4.16378481	69.85602639
K00105DC	1	557.247	adjusted	457807.5447	7553639.976	547.9308054	-1.817051775	-3.752759207	70.11630863
K00106DC	1	562.247	adjusted	457793.3596	7553645.24	555.0800827	-2.753625208	-3.419776602	70.30661831
K00107DC	1	567.247	adjusted	457779.129	7553651.859	561.8946986	-3.629577954	-4.552221243	69.75472367
K00108DC	1	572.247	adjusted	457765.153	7553657.617	568.5163519	-4.360429658	-4.531570516	69.99709787
K00109DC	1	577.257	adjusted	457750.3959	7553663.762	575.7712301	-3.016136711	-4.994469545	70.44911757
K00110DC	1	582.247	adjusted	457736.4276	7553669.369	582.6225086	-3.185526347	-0.117868926	92.37841867
K00111DC	1	587.247	adjusted	457735.0739	7553670.282	583.4692111	-1.898527851	0.340478411	-113.1225641
K00112DC	1	592.247	adjusted	457747.9796	7553664.957	584.8136598	-0.58526492	-0.339392184	-113.0827379
K00113DC	1	597.247	adjusted	457765.8969	7553656.395	585.5877742	-1.583290853	-1.155122179	-113.2173342
K00114DC	1	602.247	adjusted	457783.143	7553647.223	586.0612525	-0.895104291	-1.691336082	-113.1432078
K00115DC	1	607.247	adjusted	457800.3863	7553639.255	586.074275	-1.431948438	-0.858741926	-113.5177812
K00116DC	1	612.257	adjusted	457817.956	7553630.277	586.1388893	-0.441583317	-1.668968692	-113.292699
K00117DC	1	617.247	adjusted	457834.9148	7553621.914	586.4419451	-1.544181809	-1.430015611	-113.6556427
K00118DC	1	622.247	adjusted	457851.3856	7553613.933	585.7962525	-1.076982016	-1.716518083	-113.4848192
K00119DC	1	627.247	adjusted	457868.1416	7553606.039	586.0214827	-1.708289839	-1.480227752	-113.5764942
K00120DC	1	632.247	adjusted	457885.5528	7553597.425	585.8615308	-1.055795136	-1.157881329	-113.7345542
K00121DC	1	637.247	adjusted	457901.2971	7553589.832	586.0166009	-1.302637175	-1.883251602	-113.64889
K00122DC	1	642.247	adjusted	457917.9101	7553581.387	586.2758355	-1.676474901	-1.285579924	-113.5912569
K00123DC	1	647.267	adjusted	457935.4723	7553574.319	586.4738958	-2.476112626	-1.073050095	-113.4798121
K00124DC	1	652.257	adjusted	457951.9182	7553567.123	586.5971307	-1.912678442	-0.59452644	-113.4023045
K00125DC	1	657.257	adjusted	457969.2726	7553558.873	586.7969191	-1.725285467	-0.517216305	-113.5581382
K00126DC	1	662.257	adjusted	457986.8122	7553550.036	586.6297103	-1.281286861	-1.161839047	-113.5201719
K00127DC	1	667.257	adjusted	458003.209	7553541.717	586.3224206	-1.255933208	-1.18125204	-113.7765913
K00128DC	1	672.257	adjusted	458015.9752	7553537.099	586.5857116	-9.435868786	-2.17531259	-21.44769009
K00129DC	1	677.257	adjusted	458023.0152	7553550.475	586.656132	-5.345720053	-0.038535728	-22.58827497
K00130DC	1	682.27	adjusted	458029.3462	7553566.904	586.4173466	0.392097882	-8.897823262	54.60614635
K00131DC	1	687.267	adjusted	458020.5404	7553575.062	586.0474843	-2.149394628	-6.614762179	67.33666007
K00132DC	1	692.267	adjusted	458004.6106	7553582.838	586.0592836	-3.241443942	-3.558999595	67.21878068
K00133DC	1	697.267	adjusted	457988.0984	7553590.921	585.9370692	-2.688944487	-3.979239535	67.10626977
K00134DC	1	702.267	adjusted	457971.2261	7553598.057	585.7723434	-2.188862063	-4.370879958	67.1626871
K00135DC	1	707.267	adjusted	457953.287	7553605.256	586.222475	-1.762536275	-4.577091606	67.14145208
K00136DC	1	712.267	adjusted	457937.3171	7553614.719	586.0271248	-2.174577181	-3.438295221	66.95137327
K00137DC	1	717.277	adjusted	457921.0466	7553622.743	585.9502197	-3.088641775	-3.550782125	66.5164911
K00138DC	1	722.267	adjusted	457907.1297	7553630.613	585.7509364	-2.052577719	-2.801293714	66.51660275
K00139DC	1	727.267	adjusted	457890.0461	7553639.12	585.8624303	-1.850186467	-1.352390869	66.56736031
K00140DC	1	732.267	adjusted	457872.9619	7553647.427	585.7614646	-1.9276903	-2.48599989	65.90189105
K00141DC	1	737.267	adjusted	457857.1681	7553655.557	584.6725148	-1.583970692	-4.133027443	66.21482711
K00142DC	1	742.267	adjusted	457840.7463	7553663.601	584.9921164	-1.633694459	-4.022468668	66.32615264
K00143DC	1	747.267	adjusted	457823.8273	7553670.689	585.061949	-4.266749431	-2.571553116	65.91164959
K00144DC	1	752.267	adjusted	457807.8869	7553679.426	585.4927339	-1.064915112	-3.527471104	66.18725397
K00145DC	1	757.277	adjusted	457790.8585	7553687.177	585.5290964	-2.676314958	-4.259950825	66.24561428
K00146DC	1	762.267	adjusted	457774.0779	7553695.056	585.309792	-1.447246472	-4.068172578	66.451802
K00147DC	1	767.267	adjusted	457763.3626	7553702.081	584.7136635	-3.310928068	1.395866545	-43.01462491
K00148DC	1	772.267	adjusted	457770.9211	7553711.675	585.1624666	-3.210025402	0.355166712	-43.00048641
K00149DC	1	777.267	adjusted	457783.5602	7553724.798	585.6716879	-4.443692119	-0.56849163	-43.44916729
K00150DC	1	782.267	adjusted	457797.3601	7553726.855	585.7057046	1.775674884	-0.983760296	-115.0928197
K00151DC	1	787.267	adjusted	457812.822	7553721.011	586.8073131	0.880310876	0.440742878	-115.0585838
K00152DC	1	792.267	adjusted	457829.9066	7553711.769	586.88952	-0.616711102	0.69404419	-114.6904436
K00153DC	1	797.267	adjusted	457847.3613	7553703.957	586.1475986	0.904319656	1.499425323	-114.5685952
K00154DC	1	802.267	adjusted	457865.7517	7553696.607	586.6454644	-0.014448494	0.394748278	-114.3604243
K00155DC	1	807.267	adjusted	457883.0972	7553688.287	586.9063606	-0.069383288	0.581728357	-114.4082299
K00156DC	1	812.267	adjusted	457899.6257	7553680.651	586.9033304	-0.290036249	0.57976756	-114.5842155
K00157DC	1	817.267	adjusted	457916.3926	7553672.002	587.0232337	-0.633690155	0.208516805	-114.5227552
K00158DC	1	822.267	adjusted	457933.166	7553663.865	586.9848468	-0.010864266	0.303226967	-114.5216616
