id	band	time	status	X0	Y0	Z0	omega	phi	kappa
K00097DC	1	 517,166000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00098DC	1	 522,167000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00099DC	1	 527,162000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00100DC	1	 532,162000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00102DC	1	 542,162000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00103DC	1	 547,164000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00104DC	1	 552,162000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00105DC	1	 557,164000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00106DC	1	 562,163000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00107DC	1	 567,164000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00108DC	1	 572,165000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00109DC	1	 577,164000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00110DC	1	 582,151000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00111DC	1	 587,172000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00112DC	1	 592,171000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00113DC	1	 597,171000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00114DC	1	 602,171000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00115DC	1	 607,169000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00116DC	1	 612,169000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00117DC	1	 617,169000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00118DC	1	 622,172000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00119DC	1	 627,172000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00120DC	1	 632,172000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00121DC	1	 637,172000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00122DC	1	 642,169000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00123DC	1	 647,173000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00124DC	1	 652,172000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00125DC	1	 657,176000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00126DC	1	 662,173000	adjusted	4,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
