ima_id	band	rel_a	rel_b	sd_rela	sd_relb	sd_dn	sunzen	sunaz
rad 1 0
K00097DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00098DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00099DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00100DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00102DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00103DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00104DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00105DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00106DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00107DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00108DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00109DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00110DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00111DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00112DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00113DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00114DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00115DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00116DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00117DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00118DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00119DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00120DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00121DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00122DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00123DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00124DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00125DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00126DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00127DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00128DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00129DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00130DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00131DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00132DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00133DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00134DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00135DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00136DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00137DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00138DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00139DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00140DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00141DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00142DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00143DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00144DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00145DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00146DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00147DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00148DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00149DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00150DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00151DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00152DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00153DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00154DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00155DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00156DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00157DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00158DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00159DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00160DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00161DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00162DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
