ima_id	 cube_start	 vX0	 vY0	 vZ0	 vo	 vp	 vk 
K00312DC	 446.9000 	 -3.831590261 	 1.414145821 	 0.003026631 	 0.189188821 	 0.342746008 	 -0.350815489
K00313DC	 450.9000 	 -3.831590261 	 1.414145821 	 0.003026631 	 0.189188821 	 0.342746008 	 -0.350815489
K00314DC	 455.1000 	 -3.751340365 	 0.802945318 	 -0.326975538 	 -0.054575332 	 0.092364903 	 0.453112598
K00315DC	 459.1000 	 -4.645608742 	 1.029024022 	 0.420509252 	 0.001396631 	 0.084902053 	 -0.228725759
K00316DC	 463.3000 	 -4.022566455 	 -0.276461089 	 -0.306614794 	 2.033335242 	 0.430964501 	 5.916294052
K00317DC	 467.3000 	 -2.705463796 	 -1.997773645 	 0.566080091 	 -0.187496189 	 1.957597335 	 11.372802536
K00318DC	 471.4930 	 0.600923922 	 -2.593675708 	 0.110957265 	 -2.033546723 	 -0.635355143 	 -71.887091865
K00319DC	 475.5000 	 2.437563208 	 -1.731630971 	 -0.026314931 	 0.375979427 	 0.013694326 	 11.131195562
K00320DC	 479.7070 	 2.970817883 	 -1.270650408 	 -0.233374988 	 -0.106810800 	 0.363843872 	 2.840284608
K00321DC	 483.9000 	 3.697571304 	 -1.300776366 	 -0.133705895 	 0.184985460 	 -0.295990489 	 0.697131241
K00322DC	 487.8940 	 4.043721257 	 -1.383989095 	 0.195324886 	 0.205349239 	 -0.443890211 	 -0.007929142
K00324DC	 496.0950 	 1.904729551 	 -2.685305442 	 0.005273463 	 0.154081342 	 -0.567659686 	 -8.737658220
K00325DC	 500.2930 	 -0.656072847 	 -3.366791663 	 -0.047211196 	 0.111823524 	 -0.001401004 	 81.793431355
K00326DC	 504.2930 	 -1.063048582 	 -3.581485139 	 -0.060281988 	 0.205530437 	 0.093470593 	 -0.987297229
K00327DC	 508.4940 	 -1.096449954 	 -3.618539609 	 -0.012956064 	 -0.168735964 	 0.097394966 	 0.140881822
K00328DC	 512.4940 	 -1.147626970 	 -3.962671519 	 -0.001418601 	 -0.056768491 	 -0.023286320 	 0.204773059
K00329DC	 516.7020 	 -1.043799357 	 -3.747380444 	 -0.013620620 	 0.200941039 	 0.228479544 	 0.333534635
K00330DC	 520.7010 	 -1.014108909 	 -4.075901455 	 0.003734378 	 -0.031901239 	 -0.134411457 	 0.347743490
K00331DC	 524.8950 	 -0.959842872 	 -3.928376236 	 0.050093281 	 -0.001916366 	 0.079721574 	 0.087847671
K00332DC	 528.8940 	 -0.992845768 	 -4.183557432 	 0.001718898 	 -0.040179033 	 0.124888485 	 0.015391345
K00333DC	 533.0950 	 -0.973272549 	 -3.860880281 	 -0.059396646 	 0.148030255 	 0.088650829 	 -0.240667973
K00334DC	 537.0950 	 -1.053165469 	 -4.057729252 	 -0.083452461 	 0.092602521 	 0.179864664 	 0.301433185
K00335DC	 541.3020 	 -0.875719594 	 -3.894805498 	 -0.018487940 	 -0.027272148 	 0.515417437 	 1.000268316
K00336DC	 545.2990 	 0.151587737 	 -4.162329323 	 0.087769275 	 -0.181490540 	 0.125472821 	 -86.341130312
K00337DC	 549.4990 	 0.880512707 	 -3.832147202 	 0.030370530 	 -0.065952506 	 -0.075420425 	 2.888214767
K00338DC	 553.4930 	 1.035669310 	 -4.017933565 	 -0.005223427 	 0.084871275 	 0.005424222 	 0.358599816
K00339DC	 557.7090 	 1.084324036 	 -3.732005922 	 -0.072646398 	 0.007496417 	 -0.018307365 	 0.147974904
K00340DC	 561.7020 	 1.135034663 	 -4.021445788 	 -0.018506046 	 -0.230568217 	 -0.219394987 	 -0.343569609
K00341DC	 565.8950 	 0.990685491 	 -3.842087704 	 0.078983113 	 0.156054876 	 -0.414277534 	 -0.469365488
K00342DC	 570.1010 	 0.466383994 	 -3.961946133 	 -0.020583324 	 -0.024176564 	 0.048785546 	 -1.915143734
K00344DC	 578.3010 	 0.031657460 	 -4.058503249 	 0.007044963 	 0.031207361 	 0.074508579 	 -0.822696070
K00345DC	 582.3010 	 -0.005510215 	 -4.151242149 	 -0.016023436 	 -0.000748936 	 -0.205732892 	 -0.118515408
K00346DC	 586.4990 	 -0.046739496 	 -3.926940018 	 0.051116745 	 -0.077775438 	 -0.002743371 	 0.282387291
K00348DC	 594.7110 	 0.016735158 	 -3.986556436 	 -0.021165183 	 0.075496322 	 -0.085549916 	 -0.195990635
K00349DC	 598.7100 	 -0.056366431 	 -4.102500258 	 -0.019777275 	 -0.003815384 	 0.233009716 	 0.270991524
K00350DC	 602.9060 	 0.043884186 	 -3.958131260 	 0.007192435 	 -0.048216644 	 -0.068012267 	 -0.046347397
K00351DC	 606.9010 	 0.025383917 	 -4.236868439 	 0.012608995 	 0.076498125 	 -0.011140854 	 0.052418294
K00352DC	 611.1020 	 0.023841076 	 -3.993332972 	 -0.001272917 	 -0.008800937 	 -0.181384158 	 0.055883001
K00353DC	 615.1020 	 -0.273804064 	 -4.159946212 	 0.007549711 	 0.046703177 	 0.136553503 	 -1.077675194
K00354DC	 619.3010 	 -0.390865195 	 -3.925145234 	 0.018796076 	 -0.063655582 	 -0.176711248 	 -0.499030641
K00355DC	 623.3010 	 -0.507266763 	 -4.084471941 	 -0.009005038 	 0.012221700 	 0.050808237 	 -0.345475445
K00356DC	 627.5010 	 -0.520635386 	 -3.904838681 	 -0.007652445 	 -0.087572621 	 0.061235089 	 0.040069182
K00357DC	 631.5010 	 -0.469262011 	 -4.026176068 	 -0.029573752 	 0.243615039 	 0.037635113 	 0.099216797
K00358DC	 635.7180 	 -0.462625300 	 -3.883742029 	 -0.008065803 	 -0.235531612 	 -0.215855955 	 -0.111531709
K00359DC	 639.7110 	 -0.884577683 	 -4.047054940 	 0.038110345 	 -0.115212041 	 -0.193237722 	 88.433651145
K00360DC	 643.9000 	 -1.193708475 	 -3.572648595 	 -0.027424821 	 0.544768955 	 0.298811574 	 -1.482867755
K00361DC	 647.9010 	 -1.295202704 	 -3.837266647 	 -0.038984560 	 -0.234654206 	 0.078766881 	 0.154988256
K00362DC	 652.1010 	 -1.237895946 	 -3.781510651 	 -0.018284382 	 -0.037369714 	 -0.364669892 	 -0.237544729
K00363DC	 656.1010 	 -1.432842449 	 -3.919239399 	 -0.009192391 	 0.188218561 	 0.296344240 	 -0.196243758
K00364DC	 660.3000 	 -1.243503973 	 -3.752236100 	 -0.007293645 	 0.064837422 	 -0.324604533 	 0.253404755
K00365DC	 664.5010 	 -1.275342136 	 -3.792623116 	 0.098166407 	 -0.283026850 	 -0.016688665 	 -0.154972547
K00366DC	 668.5000 	 -1.313176329 	 -3.952139597 	 -0.051232461 	 0.103401433 	 0.153035955 	 0.182608325
K00367DC	 672.9020 	 -1.258089082 	 -3.715219369 	 -0.015362237 	 0.189628103 	 -0.036586918 	 0.173189117
K00368DC	 676.7120 	 -1.319638621 	 -3.976021558 	 -0.019424627 	 -0.228229253 	 -0.034108217 	 -0.111030543
K00369DC	 680.9030 	 -1.268774868 	 -3.767894093 	 -0.007595951 	 0.080022948 	 -0.096355206 	 -0.054561024
K00370DC	 684.9020 	 -1.268330892 	 -3.962812520 	 -0.014759687 	 -0.037838541 	 0.359322252 	 0.056077532
K00371DC	 689.1010 	 -1.178302257 	 -3.802713105 	 0.036173380 	 0.044066495 	 -0.182322057 	 0.040475752
K00372DC	 693.1010 	 -0.784030210 	 -4.017216001 	 -0.048689910 	 -0.227765793 	 1.059275901 	 -86.876246826
K00373DC	 697.2990 	 1.177502149 	 -3.582620935 	 0.079225956 	 -1.192830361 	 0.664755601 	 7.941985457
K00374DC	 701.3000 	 2.893218905 	 -1.062262482 	 0.093844736 	 -0.609893222 	 -1.084878516 	 13.614761865
K00375DC	 705.5030 	 2.684977599 	 1.022770354 	 -0.269599872 	 -0.327462377 	 -0.298059237 	 9.012591118
K00377DC	 713.7120 	 1.773107066 	 2.645887469 	 -0.094152296 	 0.109231714 	 -0.171405049 	 4.764541261
K00378DC	 717.7110 	 1.168160565 	 3.554449117 	 -0.352701727 	 -0.120574700 	 -0.305767993 	 0.513631783
K00379DC	 721.9020 	 0.966996659 	 3.682446070 	 -0.010276042 	 0.277353290 	 0.216208650 	 0.271684205
