id	 band	 time	 status	 X0	 Y0	 Z0	 omega	 phi	 kappa 
K00312DC	 5 	 447.045000	 adjusted	 344127.552854240	 7522226.862934231	 569.948592191	 -3.819066242	 -5.961496949	 72.573736336
K00313DC	 5 	 451.045000	 adjusted	 344112.226493197	 7522232.519517515	 569.960698716	 -3.062310960	 -4.590512915	 71.170474378
K00314DC	 5 	 455.245000	 adjusted	 344096.470863666	 7522235.891887852	 568.587401458	 -3.291527357	 -4.202580321	 73.073547289
K00315DC	 5 	 459.245000	 adjusted	 344077.888428696	 7522240.007983940	 570.269438465	 -3.285940832	 -3.862972109	 72.158644251
K00316DC	 5 	 463.445000	 adjusted	 344060.993649586	 7522238.846847365	 568.981656329	 5.254067184	 -2.052921207	 97.007079270
K00317DC	 5 	 467.445000	 adjusted	 344050.171794403	 7522230.855752784	 571.245976693	 4.504082427	 5.777468133	 142.498289414
K00318DC	 5 	 471.638000	 adjusted	 344052.691468407	 7522219.980470542	 571.711220506	 -4.022578984	 3.113424017	 -158.924286776
K00319DC	 5 	 475.645000	 adjusted	 344062.458784182	 7522213.041825240	 571.605776579	 -2.516029419	 3.168297181	 -114.321586160
K00320DC	 5 	 479.852000	 adjusted	 344074.957015014	 7522207.696198975	 570.623968002	 -2.965382457	 4.698988350	 -102.372508813
K00321DC	 5 	 484.045000	 adjusted	 344090.460931491	 7522202.242043672	 570.063339184	 -2.189738422	 3.457900230	 -99.449437519
K00322DC	 5 	 488.039000	 adjusted	 344106.611554193	 7522196.714391225	 570.843466779	 -1.369573559	 1.685002727	 -99.481106511
K00324DC	 5 	 496.240000	 adjusted	 344122.232241240	 7522174.692201298	 570.886714448	 -0.105952471	 -2.970374359	 -171.138641573
K00325DC	 5 	 500.438000	 adjusted	 344119.478047427	 7522160.558409895	 570.688521847	 0.363482684	 -2.976255772	 172.230183257
K00326DC	 5 	 504.438000	 adjusted	 344115.225853098	 7522146.232469339	 570.447393895	 1.185604431	 -2.602373398	 168.280994341
K00327DC	 5 	 508.639000	 adjusted	 344110.619666840	 7522131.030984442	 570.392965469	 0.476744646	 -2.193217147	 168.872838876
K00328DC	 5 	 512.639000	 adjusted	 344106.029158960	 7522115.180298368	 570.387291065	 0.249670683	 -2.286362428	 169.691931112
K00329DC	 5 	 516.847000	 adjusted	 344101.636851266	 7522099.411321459	 570.329975497	 1.095230575	 -1.324920507	 171.095444855
K00330DC	 5 	 520.846000	 adjusted	 344097.581429740	 7522083.111791543	 570.344909273	 0.967657521	 -1.862431924	 172.486071070
K00331DC	 5 	 525.040000	 adjusted	 344093.555848736	 7522066.636181611	 570.555000494	 0.959620280	 -1.528079643	 172.854504200
K00332DC	 5 	 529.039000	 adjusted	 344089.585458510	 7522049.906135439	 570.561874368	 0.798944329	 -1.028650592	 172.916054187
K00333DC	 5 	 533.240000	 adjusted	 344085.496740532	 7522033.686577378	 570.312349059	 1.420819429	 -0.656228461	 171.905008034
K00334DC	 5 	 537.240000	 adjusted	 344081.284078656	 7522017.455660371	 569.978539217	 1.791229514	 0.063230196	 173.110740775
K00335DC	 5 	 541.447000	 adjusted	 344077.599926323	 7522001.070213642	 569.900760453	 1.676495589	 2.231591354	 177.318869579
K00336DC	 5 	 545.444000	 adjusted	 344078.205822506	 7521984.433383338	 570.251574246	 0.951077900	 2.733106218	 -167.786628279
K00337DC	 5 	 549.644000	 adjusted	 344081.903975874	 7521968.338365090	 570.379130470	 0.674077377	 2.416340434	 -155.656126259
K00338DC	 5 	 553.638000	 adjusted	 344086.040439100	 7521952.290738432	 570.358268102	 1.013053250	 2.438004777	 -154.223878594
K00339DC	 5 	 557.854000	 adjusted	 344090.611949237	 7521936.556601467	 570.051990887	 1.044658142	 2.360820928	 -153.600016400
K00340DC	 5 	 561.847000	 adjusted	 344095.144142646	 7521920.498968434	 569.978096244	 0.123999251	 1.484776744	 -154.971889847
K00341DC	 5 	 566.040000	 adjusted	 344099.298086908	 7521904.389094692	 570.309272435	 0.778337347	 -0.252288956	 -156.939939339
K00342DC	 5 	 570.246000	 adjusted	 344101.259697989	 7521887.725149254	 570.222698975	 0.676650720	 -0.047096948	 -164.995033885
K00344DC	 5 	 578.446000	 adjusted	 344101.519289159	 7521854.445422612	 570.280467670	 0.932551082	 0.563873399	 -171.741141660
K00345DC	 5 	 582.446000	 adjusted	 344101.497248298	 7521837.840454016	 570.216373927	 0.929555338	 -0.259058169	 -172.215203290
K00346DC	 5 	 586.644000	 adjusted	 344101.301035894	 7521821.355159821	 570.430962022	 0.603054050	 -0.270574842	 -171.029741443
K00348DC	 5 	 594.856000	 adjusted	 344101.438465010	 7521788.617558371	 570.257153539	 1.223029844	 -0.973110752	 -172.639216538
K00349DC	 5 	 598.855000	 adjusted	 344101.213055653	 7521772.211659840	 570.178064218	 1.207772123	 -0.041304896	 -171.555521433
K00350DC	 5 	 603.051000	 adjusted	 344101.397193696	 7521755.603341075	 570.208243673	 1.005455083	 -0.326684371	 -171.749995109
K00351DC	 5 	 607.046000	 adjusted	 344101.498602444	 7521738.677051660	 570.258616610	 1.311065091	 -0.371192084	 -171.540584022
K00352DC	 5 	 611.247000	 adjusted	 344101.598758803	 7521721.901059844	 570.253269087	 1.274092355	 -1.133186931	 -171.305819535
K00353DC	 5 	 615.247000	 adjusted	 344100.503542546	 7521705.261274995	 570.283467930	 1.460905064	 -0.586972920	 -175.616520310
K00354DC	 5 	 619.446000	 adjusted	 344098.862299591	 7521688.779590156	 570.362392654	 1.193615276	 -1.328983450	 -177.711949969
K00355DC	 5 	 623.446000	 adjusted	 344096.833232539	 7521672.441702390	 570.326372503	 1.242502075	 -1.125750503	 -179.093851747
K00356DC	 5 	 627.646000	 adjusted	 344094.646563920	 7521656.041379931	 570.294232236	 0.874697069	 -0.868563127	 -178.925561184
K00357DC	 5 	 631.646000	 adjusted	 344092.769515876	 7521639.936675658	 570.175937230	 1.849157226	 -0.718022674	 -178.528693996
K00358DC	 5 	 635.863000	 adjusted	 344090.818624985	 7521623.558935521	 570.141923737	 0.855920417	 -1.628287238	 -178.999023212
K00359DC	 5 	 639.856000	 adjusted	 344087.286506298	 7521607.399045145	 570.294098346	 0.395878736	 -2.399885462	 174.116545810
K00360DC	 5 	 644.045000	 adjusted	 344082.286061496	 7521592.433220182	 570.179215770	 2.677915890	 -1.148163777	 167.904812785
K00361DC	 5 	 648.046000	 adjusted	 344077.103955477	 7521577.080316327	 570.023238545	 1.739064412	 -0.833017488	 168.524920799
